Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Jammu (j and k) to Srinagar,https://www.redbus.in/bus-tickets/jammu-to-srinagar,New Pal Travels,NON A/C Seater / Sleeper (2+2),21:15,10h 00m,07:15,1.4,719,36 Seats available
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),20:50,12h 40m,09:30,4.5,INR 610,15 Seats available
Jammu (j and k) to Haridwar,https://www.redbus.in/bus-tickets/jammu-to-haridwar,,,,,,,,
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Gola Bus Service,VE A/C Seater / Sleeper (2+1),20:20,11h 30m,07:50,4.8,INR 399,12 Seats available
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,Zingbus Plus,,20:10,13h 10m,09:20,4.6,382,
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,,,,,,,,
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,,,,,,,,
Jammu (j and k) to Delhi,https://www.redbus.in/bus-tickets/jammu-to-delhi,,,,,,,,
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,Laxmi holidays,Volvo 9600 Multi-Axle A/C Sleeper (2+1),21:30,12h 45m,10:15,4.5,INR 1000,17 Seats available
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,,,,,,,,
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,,,,,,,,
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,,,,,,,,
Delhi to Jammu (j and k),https://www.redbus.in/bus-tickets/delhi-to-jammu,,,,,,,,
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,Zingbus Plus,A/C Sleeper (2+1),19:50,01h 25m,21:15,4.3,INR 123,31 Seats available
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,FlixBus,A/C Sleeper (2+1),21:00,01h 25m,22:25,4.0,INR 121,26 Seats available
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,,,,,,,,
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,,,,,,,,
Katra (jammu and kashmir) to Jammu (j and k),https://www.redbus.in/bus-tickets/katra-to-jammu,,,,,,,,
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Golden Temple Express Volvo,A/C Seater / Sleeper (2+2),20:30,01h 30m,22:00,3.7,299,38 Seats available
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,Golden Temple Express Volvo,,21:10,01h 00m,22:10,3.7,,
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,,,,,,,,
Jammu (j and k) to Katra (jammu and kashmir),https://www.redbus.in/bus-tickets/jammu-to-katra,,,,,,,,
Haridwar to Jammu (j and k),https://www.redbus.in/bus-tickets/haridwar-to-jammu,City Land Travels,A/C Seater/Sleeper (2+1),20:00,12h 00m,08:00,3.7,764,3 Seats available
Chandigarh to Jammu (j and k),https://www.redbus.in/bus-tickets/chandigarh-to-jammu,Laxmi holidays,Bharat Benz A/C Seater /Sleeper (2+1),22:50,07h 10m,06:00,4.4,INR 620,13 Seats available
