Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8974,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",14:40,03h 50m,18:30,2.7,INR 320,12 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8665,LAHARI A/C SLEEPER CUM SEATER,15:00,05h 00m,20:00,4.0,INR 389,3 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8969,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",15:15,04h 15m,19:30,4.1,INR 320,13 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8698,RAJDHANI (A.C. Semi Sleeper),15:30,04h 00m,19:30,3.4,INR 389,2 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8613,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",17:20,04h 10m,21:30,3.9,INR 320,6 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8675,RAJDHANI (A.C. Semi Sleeper),17:30,04h 00m,21:30,4.0,INR 389,11 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 64089,RAJDHANI (A.C. Semi Sleeper),18:00,04h 00m,22:00,3.1,INR 389,32 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 1952,Lahari A/C sleeper,18:10,03h 35m,21:45,3.1,INR 389,1 Seat available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 4172,RAJADHANI AC (CONVERTED METRO LUXURY),18:30,04h 00m,22:30,4.1,INR 389,20 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8677,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",19:30,04h 10m,23:40,3.9,INR 320,25 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 64022,RAJADHANI AC (CONVERTED METRO LUXURY),19:30,04h 45m,00:15,2.8,INR 389,30 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8625,RAJDHANI (A.C. Semi Sleeper),21:00,04h 00m,01:00,3.8,INR 389,20 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8619,RAJADHANI AC (CONVERTED METRO LUXURY),22:00,04h 00m,02:00,3.9,INR 389,22 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8827,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",22:55,04h 25m,03:20,4.3,INR 320,5 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 4166,RAJADHANI AC (CONVERTED METRO LUXURY),23:00,04h 00m,03:00,4.6,INR 389,26 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 64008,RAJADHANI AC (CONVERTED METRO LUXURY),23:30,04h 00m,03:30,4.3,INR 389,17 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8805,RAJDHANI (A.C. Semi Sleeper),23:45,03h 45m,03:30,3.7,INR 389,2 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 8600,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:55,05h 25m,05:20,4.7,INR 320,14 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 7646,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",23:55,04h 35m,04:30,3.7,INR 320,9 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,TSRTC - 1323,Lahari A/C sleeper,23:55,03h 35m,03:30,3.6,INR 389,6 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,BSR Tours And Travels,NON A/C Seater (2+2),23:40,06h 20m,06:00,4.2,INR 580,6 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),23:40,05h 20m,05:00,3.4,INR 750,9 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Bharathi Tours & Travels,Non A/C Seater / Sleeper (2+1),23:40,04h 20m,04:00,3.8,INR 600,6 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Venkateswara Travels,Non A/C Seater / Sleeper (2+1),23:45,06h 15m,06:00,3.8,INR 550,6 Seats available
Khammam to Hyderabad,https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Sri Krishna Travels(VGN),NON A/C Hi-Tech (2+2),23:55,05h 30m,05:25,3.7,INR 550,6 Seats available
